Name;Kkal;Protein;Fat;Carbohydrate;EatingTime
Гречневая каша;228;8,6;5,16;40,21;Breakfast
Манная каша;234;7,3;6,54;36,51;Breakfast
Овсяная каша;244;9,24;8,63;34,14;Breakfast
Рисовая каша;232;5,06;5,99;39,06;Breakfast
Щи с мясом;120;9,58;6,28;6,89;Dinner
Борщ;78;3,36;4,02;8,26;Dinner
Куриный суп;95;4,62;3,56;10,89;Dinner
Гороховый суп;165;8,6;2,92;26,5;Dinner
Рассольник;98;2,79;3,77;14,03;Dinner
Рыбный суп;86;8,83;2,72;6,39;Dinner
Пюре на молоке и масле;237;3,93;8,86;35,22;Supper
Свиная отбивная;217;24,28;12,68;0;Supper
Гречка Отварная;138;3,7;4,8;21,91;Supper
Голубцы;157;5,96;11,33;8,38;Supper
Варёная курица;231;34,1;9,71;0;Dinner
Рис Отварной;139;3,29;0,42;29,49;Dinner
Жареная куриная грудка;187;33,44;4,71;0,51;Supper
Жареная картошка с грибами;126;1,94;8,05;12,69;Supper
Жареная семга;178;18,15;11,09;0;Dinner
Варёная рыба;125;26,07;1,35;0;Supper
Жаркое из свинины;210;22,93;12,4;0;Supper
Капуста тушёноя с мясом;117;10,77;4,91;7,08;Supper
Бефстроганов;296;19,51;19,03;11,46;Dinner
Куриная котлета;214;17,82;9,68;12,99;Dinner
Говяжья котлета;204;13,15;10,77;12,71;Supper
Пюре на воде;105;1,89;3,72;16,51;Dinner
Чай с сахаром;47;0,02;0;12,51;Breakfast
Чай с лимоном;4;0,24;0;1,09;Lunch
Зелёный чай;2;0;0;0,47;Breakfast
Кофе с сахаром и молоком;41;0,42;0,19;9,56;Lunch
Молоко 3,2%;59;2,9;3,2;4,7;Afternoon snack
Кефир 1%;37;3;1;4;Afternoon snack
Компот;141;1,39;0,42;35,43;Dinner
Апельсиновый сок;112;1,74;0,5;25,79;Dinner
Яблочный сок;117;0,15;0,27;28,97;Dinner
Омлет;114;7,71;8,62;0,96;Breakfast
Варёное яйцо;77;6,26;5,28;0,56;Lunch
Бутерброд с колбасой;275;10,48;11,46;31,57;Lunch
Бутерброд с сыром;261;9,1;12,67;27,6;Lunch
Бутерброд с маслом;152;2,37;9,15;15,16;Afternoon snack
Овсяное печенье;70;0,8;2,85;10,31;Afternoon snack
Банан;105;1,29;0,39;26,95;Lunch
Яблоко;72;0,36;19,06;26;Lunch
Груша;96;0,63;0,2;25,66;Afternoon snack
Апельсин;62;1,23;0,16;15,39;Afternoon snack
Помидор;22;1,08;0,25;4,82;Supper
Огурец;45;1,96;0,33;10,93;Supper
Цезарь с курицей;283;15,5;21,15;8,2;Afternoon snack
Овощной салат;22;0,39;1,69;1,66;Lunch
Оливье;167;5,82;11,23;11,01;Supper
Селёдка под шубой;189;5,03;15,75;7,21;Afternoon snack
Морковь по-корейски;107;0,78;7,93;9,05;Lunch
Винегрет;98;0,77;8,36;5,35;Supper
